epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3927,2.04934,5.05227,1.7567,0,0,0,0,1.02432,4.67064,1.02442,0.00013,0.00013,0.00013
2,34.1732,1.3001,3.23549,1.15066,0,0,0,0,1.04587,4.36841,1.01458,0.000267327,0.000267327,0.000267327
3,49.8555,1.25443,2.83755,1.12882,0.00312,0.71071,0.02217,0.01674,1.00473,4.16926,1.01394,0.000401882,0.000401882,0.000401882
4,67.8115,1.16849,2.54532,1.09515,0.00356,0.68889,0.20224,0.13502,0.95993,4.10015,0.98876,0.000533665,0.000533665,0.000533665
5,85.5017,1.11461,2.2534,1.08277,0.00646,1,0.61216,0.40076,1.08852,3.75957,1.07408,0.000662676,0.000662676,0.000662676
6,101.969,1.19052,2.07081,1.08944,0.9715,0.08118,0.6596,0.45586,1.11625,3.53185,1.05025,0.000788915,0.000788915,0.000788915
7,121.579,1.17132,2.04901,1.11634,0.99118,0.31023,0.76106,0.49922,1.14657,3.07787,1.06553,0.000912382,0.000912382,0.000912382
8,143.273,1.14481,1.97833,1.04793,0.61876,0.64544,0.73323,0.47784,1.1859,2.60467,1.13484,0.0009307,0.0009307,0.0009307
9,165.938,1.12839,1.84553,1.06034,0.51456,0.64799,0.75236,0.53016,1.08036,2.43796,1.06105,0.0009208,0.0009208,0.0009208
10,189.994,1.11346,1.83227,1.06337,0.57738,0.73401,0.71239,0.51084,1.08818,1.94706,1.0469,0.0009109,0.0009109,0.0009109
11,214.179,1.08728,1.79498,1.03898,0.54167,0.83196,0.71187,0.49462,1.05192,1.9048,1.02819,0.000901,0.000901,0.000901
12,238.936,1.10689,1.69376,1.0582,0.71447,0.91899,0.82463,0.56449,1.08204,1.59968,1.05053,0.0008911,0.0008911,0.0008911
13,270.306,1.13261,1.60164,1.06667,0.72368,0.72718,0.81036,0.57025,1.00701,1.57936,1.01147,0.0008812,0.0008812,0.0008812
14,307.924,1.09586,1.58876,1.059,0.76516,0.70438,0.74929,0.51032,1.02407,1.45949,1.02044,0.0008713,0.0008713,0.0008713
15,342.941,1.09581,1.50302,1.04476,0.78998,0.69802,0.70065,0.49528,0.99857,1.44384,1.00247,0.0008614,0.0008614,0.0008614
16,382.746,1.11078,1.44676,1.06008,0.72072,0.69414,0.73549,0.527,0.99916,1.47717,1.00943,0.0008515,0.0008515,0.0008515
17,419.163,1.01844,1.41964,1.03398,0.7395,0.94431,0.89376,0.63701,1.02339,1.46602,1.01869,0.0008416,0.0008416,0.0008416
18,455.703,1.07066,1.35993,1.05983,0.54821,0.79417,0.72279,0.50519,1.05405,1.62476,1.03409,0.0008317,0.0008317,0.0008317
19,496.517,1.08327,1.39196,1.04205,0.80512,0.90527,0.91456,0.63638,0.99546,1.33216,1.01441,0.0008218,0.0008218,0.0008218
20,524.675,1.03941,1.25224,1.02404,0.76254,0.93499,0.92325,0.67565,0.99503,1.26304,1.00869,0.0008119,0.0008119,0.0008119
21,552.965,1.08503,1.26838,1.04028,0.81615,0.98269,0.96469,0.67716,1.04966,1.14044,1.01406,0.000802,0.000802,0.000802
22,578.947,1.11005,1.31505,1.04678,0.83786,0.97597,0.97026,0.70515,0.99569,1.13631,1.00036,0.0007921,0.0007921,0.0007921
23,841.11,1.09424,1.27091,1.04086,0.88959,0.86013,0.94855,0.66524,1.0509,1.13352,1.01334,0.0007822,0.0007822,0.0007822
24,871.84,1.07247,1.19052,1.03445,0.8763,0.84907,0.96092,0.69914,0.97167,1.14246,1.00676,0.0007723,0.0007723,0.0007723
25,900.896,1.02666,1.10819,1.02769,0.91892,0.9153,0.965,0.69377,1.02639,1.13444,1.02474,0.0007624,0.0007624,0.0007624
26,923.507,1.04772,1.10369,1.0286,0.7665,0.91563,0.91311,0.6449,1.01325,1.19326,1.00629,0.0007525,0.0007525,0.0007525
27,949.662,0.97327,1.08095,1.00086,0.87627,0.93587,0.96285,0.69125,1.00378,0.98806,0.99953,0.0007426,0.0007426,0.0007426
28,970.19,1.04181,1.12104,1.03148,0.89336,0.87271,0.9283,0.68073,0.98915,1.03582,0.99564,0.0007327,0.0007327,0.0007327
29,998.675,0.98324,1.01695,1.00362,0.87808,0.94153,0.94418,0.67581,0.98189,0.97301,0.99095,0.0007228,0.0007228,0.0007228
30,1023.56,1.02296,1.083,1.03333,0.90252,0.91786,0.97206,0.70626,0.98074,0.98555,1.00181,0.0007129,0.0007129,0.0007129
31,1050.63,0.99951,1.0035,1.01733,0.91152,0.90054,0.95149,0.71657,0.97337,0.98943,0.99674,0.000703,0.000703,0.000703
32,1075.15,1.01052,1.0066,1.00468,0.8038,0.99442,0.97082,0.72065,0.96993,0.96263,0.99662,0.0006931,0.0006931,0.0006931
33,1098.98,0.99666,0.98949,1.02542,0.92625,0.90838,0.96552,0.70352,1.00939,0.93747,1.01241,0.0006832,0.0006832,0.0006832
34,1123.88,0.99397,1.02973,1.00695,0.88359,0.94358,0.97691,0.70532,1.01626,0.90027,1.01238,0.0006733,0.0006733,0.0006733
35,1152.4,0.97227,0.94271,1.00068,0.85396,0.895,0.96208,0.67411,1.03908,0.94807,1.05345,0.0006634,0.0006634,0.0006634
36,1181.14,1.00496,1.03783,1.03196,0.91753,0.85401,0.94892,0.68797,1.03796,1.02214,1.02166,0.0006535,0.0006535,0.0006535
37,1204.73,1.01708,0.93667,1.03921,0.85854,0.92682,0.97326,0.69506,1.07237,0.89004,1.02444,0.0006436,0.0006436,0.0006436
38,1224.57,0.96968,0.90057,1.00057,0.91676,0.90028,0.97491,0.68899,1.00185,0.83963,1.00375,0.0006337,0.0006337,0.0006337
39,1244.73,0.95818,0.90831,1.0005,0.90549,0.9187,0.96899,0.69032,1.04032,0.84739,1.01337,0.0006238,0.0006238,0.0006238
40,8070.91,0.97368,0.90109,0.98998,0.86206,0.93755,0.95578,0.69116,1.00505,0.84254,1.00489,0.0006139,0.0006139,0.0006139
41,15752.1,1.02909,0.88476,1.04499,0.90411,0.91258,0.94851,0.70793,0.96954,0.80678,0.99331,0.000604,0.000604,0.000604
42,18779.3,0.97708,0.84307,1.00693,0.90629,0.9319,0.97343,0.69255,1.03151,0.83039,1.01016,0.0005941,0.0005941,0.0005941
43,18801.8,1.00336,0.83005,1.0095,0.92594,0.92594,0.97163,0.72351,1.03822,0.84521,1.00925,0.0005842,0.0005842,0.0005842
44,18821.9,0.98629,0.86585,1.00066,0.89721,0.89277,0.9569,0.71858,1.00892,0.84907,1.00474,0.0005743,0.0005743,0.0005743
45,22010.7,0.94503,0.82947,1.00182,0.85196,0.92786,0.96658,0.70141,1.04714,0.89978,1.01013,0.0005644,0.0005644,0.0005644
46,22051.6,0.99772,0.85741,1.0028,0.83101,0.91417,0.93879,0.68917,0.99144,0.87384,1.00165,0.0005545,0.0005545,0.0005545
47,22116,0.97345,0.79775,1.01195,0.84038,0.8814,0.92335,0.67043,0.99291,0.9841,0.99537,0.0005446,0.0005446,0.0005446
48,22197.7,0.95026,0.78662,1.00331,0.918,0.89509,0.93508,0.70172,0.97566,0.82014,1.00636,0.0005347,0.0005347,0.0005347
49,22231.4,0.93504,0.78026,0.99843,0.83524,0.97488,0.96233,0.69821,1.03258,0.78607,1.01056,0.0005248,0.0005248,0.0005248
50,22262.1,0.91753,0.76081,0.97239,0.81498,0.95465,0.97182,0.7155,0.99605,0.83006,1.00037,0.0005149,0.0005149,0.0005149
51,22297.9,0.93441,0.76202,1.00107,0.93319,0.92783,0.96261,0.70763,0.96821,0.75176,0.98412,0.000505,0.000505,0.000505
52,22319,0.95223,0.757,1.02028,0.92308,0.93232,0.97106,0.70626,1.00344,0.74138,0.99738,0.0004951,0.0004951,0.0004951
53,22351,0.95192,0.76377,1.01123,0.93175,0.88753,0.97239,0.7122,1.03482,0.74118,1.01673,0.0004852,0.0004852,0.0004852
54,22385.5,0.96732,0.76856,0.99431,0.86549,0.88586,0.96985,0.71376,0.97966,0.80643,0.99546,0.0004753,0.0004753,0.0004753
55,22413.8,0.97608,0.75467,0.99015,0.89359,0.94867,0.96919,0.72236,0.94845,0.71155,0.98859,0.0004654,0.0004654,0.0004654
56,22444,0.95661,0.78938,1.01069,0.91026,0.90682,0.96864,0.68845,1.0809,0.75609,1.02024,0.0004555,0.0004555,0.0004555
57,22486.4,0.93929,0.75343,1.0128,0.9405,0.94424,0.98765,0.70906,1.03628,0.66008,1.01188,0.0004456,0.0004456,0.0004456
58,22529.6,0.91639,0.68728,0.99962,0.91658,0.95092,0.9778,0.74878,0.9481,0.66765,0.9864,0.0004357,0.0004357,0.0004357
59,22569,0.92353,0.67402,0.97692,0.92529,0.9406,0.97248,0.71569,0.99877,0.70048,0.99877,0.0004258,0.0004258,0.0004258
60,22602.1,0.94965,0.74075,1.00646,0.90308,0.95902,0.96357,0.71218,0.98669,0.71022,0.99893,0.0004159,0.0004159,0.0004159
61,22640.7,0.92744,0.70383,0.98176,0.90937,0.94604,0.97069,0.70039,0.98842,0.68466,0.99744,0.000406,0.000406,0.000406
62,22681.7,0.93227,0.68708,0.99002,0.93578,0.91547,0.96049,0.68538,1.02513,0.692,1.00852,0.0003961,0.0003961,0.0003961
63,22712.8,0.92477,0.66954,0.98584,0.9225,0.9012,0.9406,0.68251,1.00576,0.72789,1.00683,0.0003862,0.0003862,0.0003862
64,22759.8,0.9313,0.67373,0.97833,0.88702,0.8881,0.95098,0.69462,0.99992,0.76147,1.01385,0.0003763,0.0003763,0.0003763
65,22791.8,0.9163,0.65002,0.98532,0.926,0.90119,0.96458,0.72094,0.98804,0.69903,1.00596,0.0003664,0.0003664,0.0003664
66,22841.6,0.87495,0.64385,0.95884,0.96333,0.91786,0.96453,0.70655,1.02133,0.6745,1.00601,0.0003565,0.0003565,0.0003565
67,22884.6,0.90841,0.67735,0.98702,0.93422,0.9019,0.95743,0.7038,0.98818,0.69386,1.00589,0.0003466,0.0003466,0.0003466
68,22908.9,0.93201,0.6744,0.98963,0.94953,0.90119,0.9647,0.69578,1.00122,0.68868,1.00989,0.0003367,0.0003367,0.0003367
69,22960.2,0.92203,0.63514,0.98977,0.90191,0.92969,0.95722,0.70235,1.00039,0.70983,1.00398,0.0003268,0.0003268,0.0003268
70,23003.7,0.90457,0.62262,0.96187,0.94153,0.85583,0.94702,0.69441,0.97347,0.75402,0.99026,0.0003169,0.0003169,0.0003169
71,23077,0.87335,0.63152,0.96459,0.86895,0.9294,0.94775,0.69485,1.00033,0.73354,1.0024,0.000307,0.000307,0.000307
72,23175.1,0.90636,0.64015,0.97581,0.89399,0.85189,0.94184,0.7001,0.97831,0.77677,1.00365,0.0002971,0.0002971,0.0002971
73,23304.7,0.84648,0.61584,0.95026,0.88692,0.93224,0.94182,0.69641,0.95564,0.69728,1.00208,0.0002872,0.0002872,0.0002872
74,23350.6,0.87212,0.64886,0.97047,0.89646,0.88761,0.93544,0.70743,0.98733,0.71711,1.01797,0.0002773,0.0002773,0.0002773
75,23392.6,0.87388,0.61499,0.97491,0.89151,0.91044,0.93872,0.69028,1.00581,0.72131,1.0238,0.0002674,0.0002674,0.0002674
76,23436,0.87246,0.64546,0.98738,0.91772,0.9047,0.9555,0.70525,0.99339,0.69718,1.00881,0.0002575,0.0002575,0.0002575
77,23468.9,0.86506,0.61364,0.95175,0.90787,0.91253,0.94028,0.67746,1.01121,0.71574,1.0182,0.0002476,0.0002476,0.0002476
78,23516.8,0.90815,0.65838,0.9877,0.91297,0.94279,0.9613,0.68015,1.04356,0.66733,1.02815,0.0002377,0.0002377,0.0002377
79,23582.7,0.87155,0.59971,0.97736,0.93576,0.92609,0.96566,0.70468,1.00657,0.65508,1.01243,0.0002278,0.0002278,0.0002278
80,23632.7,0.87873,0.62243,0.97226,0.90757,0.9414,0.96269,0.70739,0.97754,0.66437,0.99965,0.0002179,0.0002179,0.0002179
81,23682.6,0.83569,0.63909,0.95266,0.92822,0.93267,0.96451,0.71629,0.99103,0.66534,1.00801,0.000208,0.000208,0.000208
82,23724.4,0.84637,0.60735,0.96522,0.93188,0.89679,0.95257,0.70901,0.98793,0.67267,1.00633,0.0001981,0.0001981,0.0001981
83,23763.1,0.86946,0.59331,0.97078,0.90539,0.91185,0.95221,0.70934,0.98457,0.67111,1.0069,0.0001882,0.0001882,0.0001882
84,23816.8,0.85643,0.57718,0.96145,0.92533,0.93928,0.96252,0.71325,0.99303,0.64466,1.01085,0.0001783,0.0001783,0.0001783
85,23846.4,0.83766,0.59517,0.9505,0.90076,0.93612,0.96097,0.71486,0.99886,0.65957,1.01474,0.0001684,0.0001684,0.0001684
86,23878.3,0.84306,0.57803,0.96612,0.9187,0.88827,0.95505,0.69505,0.98947,0.65871,1.0144,0.0001585,0.0001585,0.0001585
87,23923.8,0.82014,0.57096,0.95562,0.93472,0.87758,0.94672,0.68604,0.99174,0.671,1.01037,0.0001486,0.0001486,0.0001486
88,23958.1,0.79079,0.55261,0.94395,0.88224,0.93464,0.95063,0.6977,1.00475,0.66308,1.01414,0.0001387,0.0001387,0.0001387
89,23987.6,0.84552,0.58437,0.96128,0.88438,0.94032,0.95149,0.69699,1.01488,0.66173,1.01893,0.0001288,0.0001288,0.0001288
90,24007.8,0.81352,0.5431,0.95268,0.9133,0.90752,0.95499,0.70796,1.00721,0.6694,1.01906,0.0001189,0.0001189,0.0001189
91,24063.9,0.81428,0.56962,0.95826,0.90198,0.91558,0.9485,0.70028,1.00827,0.67023,1.02305,0.000109,0.000109,0.000109
92,24092.2,0.77399,0.56077,0.9362,0.91201,0.94236,0.95745,0.6987,1.01636,0.65611,1.02565,9.91e-05,9.91e-05,9.91e-05
93,24123.9,0.80254,0.5499,0.96071,0.91081,0.94271,0.95777,0.69012,1.01359,0.65666,1.02413,8.92e-05,8.92e-05,8.92e-05
94,24154.9,0.76962,0.51706,0.93722,0.9041,0.94398,0.95595,0.69494,0.99075,0.65031,1.01986,7.93e-05,7.93e-05,7.93e-05
95,24188.7,0.78428,0.51793,0.96736,0.8964,0.9433,0.95201,0.70454,0.97846,0.65756,1.01802,6.94e-05,6.94e-05,6.94e-05
96,24225.8,0.77429,0.53099,0.94055,0.94192,0.87919,0.94819,0.70518,0.97443,0.67324,1.01697,5.95e-05,5.95e-05,5.95e-05
97,24271.8,0.77383,0.51782,0.94397,0.88147,0.93182,0.94673,0.70353,0.97912,0.68041,1.02027,4.96e-05,4.96e-05,4.96e-05
98,24303.5,0.76461,0.51248,0.9271,0.88142,0.93376,0.94782,0.70279,0.98382,0.68632,1.0227,3.97e-05,3.97e-05,3.97e-05
99,24346.3,0.77504,0.50776,0.93672,0.87797,0.93068,0.94782,0.7043,0.98482,0.6866,1.02335,2.98e-05,2.98e-05,2.98e-05
100,24384.7,0.77367,0.50719,0.95663,0.87984,0.92787,0.94365,0.70266,0.98201,0.68578,1.02226,1.99e-05,1.99e-05,1.99e-05
